title,artists,rank,year,first_artist,title_fmtd
TiK ToK,Ke$ha,1,2010,kesha,tik tok
Need You Now,Lady Antebellum,2,2010,lady antebellum,need you now
"Hey, Soul Sister",Train,3,2010,train,hey soul sister
California Gurls,Katy Perry Featuring Snoop Dogg,4,2010,katy perry,california gurls
OMG,Usher Featuring will.i.am,5,2010,usher,omg
Airplanes,B.o.B Featuring Hayley Williams,6,2010,bob,airplanes
Love The Way You Lie,Eminem Featuring Rihanna,7,2010,eminem,love the way you lie
Bad Romance,Lady Gaga,8,2010,lady gaga,bad romance
Dynamite,Taio Cruz,9,2010,taio cruz,dynamite
Break Your Heart,Taio Cruz Featuring Ludacris,10,2010,taio cruz,break your heart
Nothin' On You,B.o.B Featuring Bruno Mars,11,2010,bob,nothin on you
I Like It,Enrique Iglesias Featuring Pitbull,12,2010,enrique iglesias,i like it
BedRock,Young Money Featuring Lloyd,13,2010,young money,bedrock
In My Head,Jason Derulo,14,2010,jason derulo,in my head
Rude Boy,Rihanna,15,2010,rihanna,rude boy
Telephone,Lady Gaga Featuring Beyonce,16,2010,lady gaga,telephone
Teenage Dream,Katy Perry,17,2010,katy perry,teenage dream
Just The Way You Are,Bruno Mars,18,2010,bruno mars,just the way you are
Cooler Than Me,Mike Posner,19,2010,mike posner,cooler than me
Imma Be,The Black Eyed Peas,20,2010,the black eyed peas,imma be
Empire State Of Mind,Jay-Z + Alicia Keys,21,2010,jay z,empire state of mind
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,22,2010,usher,dj got us fallin in love
Billionaire,Travie McCoy Featuring Bruno Mars,23,2010,travie mccoy,billionaire
Not Afraid,Eminem,24,2010,eminem,not afraid
Replay,Iyaz ,25,2010,iyaz,replay
Sexy Chick,David Guetta Featuring Akon,26,2010,david guetta,sexy chick
Breakeven,The Script,27,2010,the script,breakeven
Your Love Is My Drug,Ke$ha,28,2010,kesha,your love is my drug
I Gotta Feeling,The Black Eyed Peas,29,2010,the black eyed peas,i gotta feeling
Fireflies,Owl City,30,2010,owl city,fireflies
Say Aah,Trey Songz Featuring Fabolous,31,2010,trey songz,say aah
Find Your Love,Drake,32,2010,drake,find your love
 Alejandro,Lady Gaga,33,2010,lady gaga, alejandro
Ridin' Solo,Jason Derulo,34,2010,jason derulo,ridin solo
Just A Dream,Nelly,35,2010,nelly,just a dream
How Low,Ludacris,36,2010,ludacris,how low
Like A G6,Far*East Movement Featuring Cataracs & Dev,37,2010,far east movement,like a g6
Carry Out,Timbaland Featuring Justin Timberlake,38,2010,timbaland,carry out
Haven't Met You Yet,Michael Buble,39,2010,michael buble,havent met you yet
Club Can't Handle Me,Flo Rida Featuring David Guetta,40,2010,flo rida,club cant handle me
Down, Jay Sean Featuring Lil Wayne,41,2010,jay sean,down
Bulletproof,La Roux,42,2010,la roux,bulletproof
Whatcha Say,Jason Derulo,43,2010,jason derulo,whatcha say
Baby,Justin Bieber Featuring Ludacris,44,2010,justin bieber,baby
Whataya Want From Me,Adam Lambert,45,2010,adam lambert,whataya want from me
Mine,Taylor Swift,46,2010,taylor swift,mine
Only Girl (In The World),Rihanna,47,2010,rihanna,only girl in the world
Live Like We're Dying,Kris Allen,48,2010,kris allen,live like were dying
Hard,Rihanna Featuring Jeezy,49,2010,rihanna,hard
Young Forever,Jay-Z + Mr. Hudson,50,2010,jay z,young forever
Blah Blah Blah,Ke$ha Featuring 3OH!3,51,2010,kesha,blah blah blah
Bottoms Up,Trey Songz Featuring Nicki Minaj,52,2010,trey songz,bottoms up
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,53,2010,jay sean,do you remember
All The Right Moves,OneRepublic,54,2010,onerepublic,all the right moves
According To You,Orianthi,55,2010,orianthi,according to you
My Chick Bad,Ludacris Featuring Nicki Minaj,56,2010,ludacris,my chick bad
You Belong With Me,Taylor Swift,57,2010,taylor swift,you belong with me
Meet Me Halfway,The Black Eyed Peas,58,2010,the black eyed peas,meet me halfway
Take It Off,Ke$ha,59,2010,kesha,take it off
Over,Drake,60,2010,drake,over
Animal,Neon Trees,61,2010,neon trees,animal
Misery,Maroon 5,62,2010,maroon 5,misery
Magic,B.o.B Featuring Rivers Cuomo,63,2010,bob,magic
Paparazzi,Lady Gaga,64,2010,lady gaga,paparazzi
Tie Me Down,New Boyz Featuring Ray J,65,2010,new boyz,tie me down
Your Love,Nicki Minaj,66,2010,nicki minaj,your love
Party In The U.S.A.,Miley Cyrus,67,2010,miley cyrus,party in the usa
Deuces,Chris Brown Featuring Tyga & Kevin McCall,68,2010,chris brown,deuces
3,Britney Spears,69,2010,britney spears,3
Impossible,Shontelle,70,2010,shontelle,impossible
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",71,2010,drake,forever
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,72,2010,boys like girls,two is better than one
My First Kiss,3OH!3 Featuring Ke$ha,73,2010,3oh 3,my first kiss
Already Gone,Kelly Clarkson,74,2010,kelly clarkson,already gone
Rock That Body,The Black Eyed Peas,75,2010,the black eyed peas,rock that body
Secrets,OneRepublic,76,2010,onerepublic,secrets
Naturally,Selena Gomez & The Scene,77,2010,selena gomez,naturally
Un-Thinkable (I'm Ready),Alicia Keys,78,2010,alicia keys,un-thinkable im ready
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",79,2010,dj khaled,all i do is win
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",80,2010,kevin rudolf,i made it cash money heroes
Stuck Like Glue,Sugarland,81,2010,sugarland,stuck like glue
Hey Daddy (Daddy's Home),Usher Featuring Plies,82,2010,usher,hey daddy daddys home
There Goes My Baby,Usher,83,2010,usher,there goes my baby
Today Was A Fairytale,Taylor Swift,84,2010,taylor swift,today was a fairytale
Say Something,Timbaland Featuring Drake,85,2010,timbaland,say something
Sweet Dreams ,Beyonce,86,2010,beyonce,sweet dreams 
Use Somebody,Kings Of Leon,87,2010,kings of leon,use somebody
Undo It,Carrie Underwood,88,2010,carrie underwood,undo it
Eenie Meenie,Sean Kingston & Justin Bieber,89,2010,sean kingston,eenie meenie
Right Above It,Lil Wayne Featuring Drake,90,2010,lil wayne,right above it
The House That Built Me,Miranda Lambert,91,2010,miranda lambert,the house that built me
If I Die Young,The Band Perry,92,2010,the band perry,if i die young
The Only Exception,Paramore,93,2010,paramore,the only exception
American Honey,Lady Antebellum,94,2010,lady antebellum,american honey
King Of Anything,Sara Bareilles,95,2010,sara bareilles,king of anything
